# falsora manifest v1.0.0
relpath,source,domain,label,role,identities,frames,group,split
Celeb DF/Celeb-real/id0_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id0,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id10_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id10,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id10_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id10,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id11_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id11,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id11_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id11,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id12_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id12,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id12_0005.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id12,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id13_0004.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id13,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id13_0011.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id13,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id13_0013.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id13,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id16_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id16,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id16_0010.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id16,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id16_0011.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id16,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id17_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id17,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id17_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id17,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id19_0005.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id19,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id19_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id19,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id1_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id1_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id1_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id1_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id20_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id20,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id21_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id21,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id21_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id21,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id22_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id22,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id22_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id22,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id23_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id23,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id24_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id24,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id25_0010.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id25,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id26_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id26,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id27_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id27,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id27_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id27,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id28_0004.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id28,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id28_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id28,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id28_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id28,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id29_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id29,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id29_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id29,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id2_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id2_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id2_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id2_0004.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id2_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id30_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id30,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id31_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id31,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id31_0004.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id31,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id31_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id31,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id32_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id32,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id32_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id32,32,celebdf:id0,heldout
